fire_year,report_date,county,latitude,longitude,total_acres,general_cause
1975,9/16/75,Coos,43.28751389,-123.7707306,2,Debris Burning
1975,9/21/75,Tillamook,45.41203889,-122.2274361,1,Debris Burning
1975,9/21/75,Tillamook,45.64552778,-122.0664361,14,Debris Burning
1975,9/21/75,Clatsop,46.16318889,-122.5038722,18,Debris Burning
1975,9/25/75,Lincoln,44.61631667,-122.0086611,4,Debris Burning
1975,9/27/75,Douglas,43.46827222,-122.6831694,80,Debris Burning
1975,9/30/75,Coos,42.92629444,-123.9478028,7,Debris Burning
1975,10/1/75,Douglas,43.35230556,-122.5241417,5,Debris Burning
1975,10/3/75,Clatsop,45.94709444,-122.5674694,2,Debris Burning
1975,10/3/75,Douglas,43.16340556,-122.5656361,2,Debris Burning
1975,10/13/75,Douglas,43.09090556,-122.4066611,3,Debris Burning
1976,2/6/76,Polk,44.89051667,-122.3074611,29,Debris Burning
1976,2/6/76,Benton,44.32458056,-122.2943889,2,Debris Burning
1976,5/2/76,Jackson,42.28002778,-121.2129194,1,Debris Burning
1976,5/16/76,Jackson,42.51233056,-122.9173889,2,Debris Burning
1976,5/16/76,Josephine,42.22075833,-122.36795,2,Debris Burning
1976,5/16/76,Harney,43.95334167,-117.1321389,15,Debris Burning
1976,5/21/76,Josephine,42.10363056,-122.4265861,2,Debris Burning
1976,7/6/76,Douglas,43.60153056,-122.2432639,5,Debris Burning
1976,7/10/76,Douglas,43.19259444,-122.7045667,5,Debris Burning
1976,7/29/76,Douglas,43.13625278,-122.4484972,1,Debris Burning
1976,7/31/76,Jackson,42.512725,-121.054975,26,Debris Burning
1976,8/10/76,Benton,44.41119167,-122.3502944,5,Debris Burning
1976,8/23/76,Lane,44.23743889,-122.6589722,8,Debris Burning
1976,8/27/76,Curry,42.27227778,-123.5980528,31,Debris Burning
1976,9/8/76,Lane,44.06343333,-122.3757944,21,Debris Burning
1976,9/9/76,Tillamook,45.25189722,-122.4033556,1,Debris Burning
1976,9/9/76,Tillamook,45.26651667,-122.1657417,7,Debris Burning
1976,9/10/76,Benton,44.41119167,-122.3502944,4,Debris Burning
1976,9/11/76,Douglas,43.35228889,-122.5639083,3,Debris Burning
1976,9/19/76,Tillamook,45.06622222,-122.2257333,16,Debris Burning
1976,9/24/76,Yamhill,45.26728056,-122.6491222,2,Debris Burning
1976,9/27/76,Lake,43.10052222,-120.6805972,4,Debris Burning
1976,9/27/76,Tillamook,45.28073333,-122.5265417,2.75,Debris Burning
1976,9/28/76,Clatsop,45.80553333,-122.167175,5,Debris Burning
1976,10/4/76,Lane,43.91801111,-122.5822667,5,Debris Burning
1976,10/6/76,Linn,44.42475833,-121.8215556,28,Debris Burning
1976,10/6/76,Clackamas,45.06075556,-121.7168222,1186,Debris Burning
1976,10/6/76,Douglas,43.84214444,-122.3079472,15,Debris Burning
1976,10/6/76,Linn,44.46793333,-121.8013917,3,Debris Burning
1976,10/7/76,Clackamas,45.16493333,-121.657075,4,Debris Burning
1976,10/7/76,Clackamas,44.93293889,-121.5728278,3,Debris Burning
1976,10/7/76,Douglas,43.54426111,-121.0978556,1,Debris Burning
1976,10/9/76,Tillamook,45.29502222,-122.505725,1,Debris Burning
1976,10/12/76,Lane,43.87368333,-122.7626056,2,Debris Burning
1976,10/13/76,Douglas,43.39596111,-122.6636611,2,Debris Burning
1976,10/17/76,Yamhill,45.22366667,-122.5669528,4,Debris Burning
1976,10/18/76,Douglas,43.831,-122.1025028,284,Debris Burning
1976,10/18/76,Tillamook,45.22356389,-122.4644444,1,Debris Burning
1976,10/18/76,Lane,44.10671667,-121.4243722,3,Debris Burning
1976,10/18/76,Clackamas,45.15064444,-121.7363889,8,Debris Burning
1976,10/18/76,Linn,44.432,-121.802,98,Debris Burning
